song_name,group_id,year,writer,sentence
다시 만난 세계,1,2007년,켄지,전해주고 싶어 슬픈 시간이
Gee,1,2009년,이트라이브,너무 너무 멋져 눈이 눈이 부셔 
Rookie,2,2017년,Sara Forsberg,당당히 넌 고개를 들고 나를 봐 역시
덤덤덤,2,2015년,LDN Noise,너땜에 하루 종일 고민하지만
오늘부터 우리는,3,2015년,이기,널 향한 설레임을 오늘부터 우리는
여름비,3,2017년,이기,찬란하게 빛나던 시간이었다고
비밀이야,4,2016년,신사동호랭이,밤새 뒤척 뒤척이다가 나 괜히 맘이 그래
La La Love,4,2019년,영광의 얼굴들,반짝 불빛이 반짝
위아래,5,2015년,신사동호랭이,위 아래 위 위 아래
아슬해,5,2015년,신사동호랭이,아슬아슬해 아슬아슬해 아슬아슬해
Hush,6,2012년,라도,자꾸 생각나 너무 떨리고
NoNoNo,6,2013년,신사동호랭이,슬퍼하지마 nonono
내 얘길 들어봐,7,2019년,황세준,한번 두번 세번 네번 말해도
불꽃놀이,7,2019년,이원민,날 바라보던 너의 눈에 비친
The Boots,8,2018년,이재광,두 발에 빛난 My Boots
Chococo,8,2019년,김도훈,달콤한 내 입술 초콜릿 맛
